"location","age_group","year","week","date","value"
"DE","00+",2024,40,"2024-10-06",5344
"DE","00+",2024,41,"2024-10-13",5958
"DE","00+",2024,42,"2024-10-20",5996
"DE","00+",2024,43,"2024-10-27",6700
"DE","00+",2024,44,"2024-11-03",5715
"DE","00+",2024,45,"2024-11-10",5216
"DE","00+",2024,46,"2024-11-17",4450
"DE","00+",2024,47,"2024-11-24",4620
"DE","00+",2024,48,"2024-12-01",3648
"DE","00+",2024,49,"2024-12-08",4484
"DE","00+",2024,50,"2024-12-15",3846
"DE","00+",2024,51,"2024-12-22",3573
"DE","00+",2024,52,"2024-12-29",3310
"DE","00+",2025,1,"2025-01-05",2498
"DE","00+",2025,2,"2025-01-12",1483
"DE","00+",2025,3,"2025-01-19",1150
"DE","00+",2025,4,"2025-01-26",1363
"DE","00+",2025,5,"2025-02-02",1688
"DE","00+",2025,6,"2025-02-09",1107
"DE","00+",2025,7,"2025-02-16",860
"DE","00+",2025,8,"2025-02-23",940
"DE","00+",2025,9,"2025-03-02",993
"DE","00+",2025,10,"2025-03-09",701
"DE","00+",2025,11,"2025-03-16",285
"DE","00+",2025,12,"2025-03-23",600
"DE","00+",2025,13,"2025-03-30",267
"DE","00+",2025,14,"2025-04-06",166
