"location","age_group","year","week","date","value"
"DE","00+",2024,40,"2024-10-06",8730
"DE","00+",2024,41,"2024-10-13",9395
"DE","00+",2024,42,"2024-10-20",9312
"DE","00+",2024,43,"2024-10-27",9644
"DE","00+",2024,44,"2024-11-03",9977
"DE","00+",2024,45,"2024-11-10",10476
"DE","00+",2024,46,"2024-11-17",11307
"DE","00+",2024,47,"2024-11-24",10725
"DE","00+",2024,48,"2024-12-01",10227
"DE","00+",2024,49,"2024-12-08",11307
"DE","00+",2024,50,"2024-12-15",12057
"DE","00+",2024,51,"2024-12-22",11890
"DE","00+",2024,52,"2024-12-29",11058
"DE","00+",2025,1,"2025-01-05",11557
"DE","00+",2025,2,"2025-01-12",11474
"DE","00+",2025,3,"2025-01-19",10476
"DE","00+",2025,4,"2025-01-26",12139
"DE","00+",2025,5,"2025-02-02",12139
"DE","00+",2025,6,"2025-02-09",12139
"DE","00+",2025,7,"2025-02-16",14052
"DE","00+",2025,8,"2025-02-23",14634
"DE","00+",2025,9,"2025-03-02",14301
"DE","00+",2025,10,"2025-03-09",13469
"DE","00+",2025,11,"2025-03-16",12638
"DE","00+",2025,12,"2025-03-23",12721
"DE","00+",2025,13,"2025-03-30",12139
"DE","00+",2025,14,"2025-04-06",9978
"DE","00+",2025,15,"2025-04-13",10144
"DE","00+",2025,16,"2025-04-20",10892
"DE","00+",2025,17,"2025-04-27",8980
"DE","00+",2025,18,"2025-05-04",7899
"DE","00+",2025,19,"2025-05-11",6817
"DE","00+",2025,20,"2025-05-18",7150
"DE","00+",2025,21,"2025-05-25",8064
"DE","00+",2025,22,"2025-06-01",8064
"DE","00+",2025,23,"2025-06-08",7067
"DE","00+",2025,24,"2025-06-15",6651
"DE","00+",2025,25,"2025-06-22",5903
