"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value","disease"
"DE","00+",2024-10-10,2024-10-06,0,"mean",NA,22160,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.025,20296,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.1,20840,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.25,21389,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.5,22072,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.75,22835,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.9,23592,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.975,24521,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"mean",NA,24289,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.025,23230,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.1,23442,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.25,23719,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.5,24141,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.75,24699,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.9,25327,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.975,26183,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"mean",NA,21492,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.025,21039,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.1,21046,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.25,21083,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.5,21242,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.75,21637,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.9,22268,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.975,23330,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"mean",NA,16382,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.025,16244,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.1,16244,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.25,16245,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.5,16267,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.75,16387,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.9,16659,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.975,17200,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"mean",NA,22926,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.025,20983,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.1,21552,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.25,22125,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.5,22836,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.75,23629,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.9,24416,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.975,25379,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"mean",NA,22289,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.025,21293,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.1,21495,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.25,21756,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.5,22152,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.75,22674,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.9,23262,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.975,24060,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"mean",NA,24443,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.025,23920,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.1,23927,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.25,23967,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.5,24147,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.75,24606,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.9,25349,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.975,26607,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"mean",NA,21785,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.025,21618,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.1,21618,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.25,21620,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.5,21647,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.75,21791,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.9,22119,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.975,22768,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"mean",NA,22832,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.025,20712,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.1,21322,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.25,21944,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.5,22724,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.75,23602,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.9,24480,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.975,25563,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"mean",NA,24925,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.025,23840,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.1,24061,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.25,24346,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.5,24777,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.75,25344,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.9,25981,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.975,26846,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"mean",NA,22478,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.025,22032,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.1,22035,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.25,22063,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.5,22206,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.75,22604,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.9,23278,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.975,24443,"sari"
"DE","00+",2024-10-24,2024-09-29,-3,"mean",NA,24093,"sari"
"DE","00+",2024-10-24,2024-09-29,-3,"quantile",0.025,23932,"sari"
"DE","00+",2024-10-24,2024-09-29,-3,"quantile",0.1,23932,"sari"
"DE","00+",2024-10-24,2024-09-29,-3,"quantile",0.25,23933,"sari"
"DE","00+",2024-10-24,2024-09-29,-3,"quantile",0.5,23960,"sari"
"DE","00+",2024-10-24,2024-09-29,-3,"quantile",0.75,24099,"sari"
"DE","00+",2024-10-24,2024-09-29,-3,"quantile",0.9,24417,"sari"
"DE","00+",2024-10-24,2024-09-29,-3,"quantile",0.975,25045,"sari"
"DE","00+",2024-10-31,2024-10-27,0,"mean",NA,25940,"sari"
"DE","00+",2024-10-31,2024-10-27,0,"quantile",0.025,23474,"sari"
"DE","00+",2024-10-31,2024-10-27,0,"quantile",0.1,24184,"sari"
"DE","00+",2024-10-31,2024-10-27,0,"quantile",0.25,24908,"sari"
"DE","00+",2024-10-31,2024-10-27,0,"quantile",0.5,25815,"sari"
"DE","00+",2024-10-31,2024-10-27,0,"quantile",0.75,26837,"sari"
"DE","00+",2024-10-31,2024-10-27,0,"quantile",0.9,27858,"sari"
"DE","00+",2024-10-31,2024-10-27,0,"quantile",0.975,29117,"sari"
"DE","00+",2024-10-31,2024-10-20,-1,"mean",NA,24129,"sari"
"DE","00+",2024-10-31,2024-10-20,-1,"quantile",0.025,23068,"sari"
"DE","00+",2024-10-31,2024-10-20,-1,"quantile",0.1,23284,"sari"
"DE","00+",2024-10-31,2024-10-20,-1,"quantile",0.25,23562,"sari"
"DE","00+",2024-10-31,2024-10-20,-1,"quantile",0.5,23984,"sari"
"DE","00+",2024-10-31,2024-10-20,-1,"quantile",0.75,24538,"sari"
"DE","00+",2024-10-31,2024-10-20,-1,"quantile",0.9,25161,"sari"
"DE","00+",2024-10-31,2024-10-20,-1,"quantile",0.975,26007,"sari"
"DE","00+",2024-10-31,2024-10-13,-2,"mean",NA,24724,"sari"
"DE","00+",2024-10-31,2024-10-13,-2,"quantile",0.025,24180,"sari"
"DE","00+",2024-10-31,2024-10-13,-2,"quantile",0.1,24186,"sari"
"DE","00+",2024-10-31,2024-10-13,-2,"quantile",0.25,24227,"sari"
"DE","00+",2024-10-31,2024-10-13,-2,"quantile",0.5,24411,"sari"
"DE","00+",2024-10-31,2024-10-13,-2,"quantile",0.75,24891,"sari"
"DE","00+",2024-10-31,2024-10-13,-2,"quantile",0.9,25675,"sari"
"DE","00+",2024-10-31,2024-10-13,-2,"quantile",0.975,27007,"sari"
"DE","00+",2024-10-31,2024-10-06,-3,"mean",NA,22668,"sari"
"DE","00+",2024-10-31,2024-10-06,-3,"quantile",0.025,22506,"sari"
"DE","00+",2024-10-31,2024-10-06,-3,"quantile",0.1,22506,"sari"
"DE","00+",2024-10-31,2024-10-06,-3,"quantile",0.25,22508,"sari"
"DE","00+",2024-10-31,2024-10-06,-3,"quantile",0.5,22534,"sari"
"DE","00+",2024-10-31,2024-10-06,-3,"quantile",0.75,22675,"sari"
"DE","00+",2024-10-31,2024-10-06,-3,"quantile",0.9,22991,"sari"
"DE","00+",2024-10-31,2024-10-06,-3,"quantile",0.975,23615,"sari"
"DE","00+",2024-11-07,2024-11-03,0,"mean",NA,25218,"sari"
"DE","00+",2024-11-07,2024-11-03,0,"quantile",0.025,22871,"sari"
"DE","00+",2024-11-07,2024-11-03,0,"quantile",0.1,23548,"sari"
"DE","00+",2024-11-07,2024-11-03,0,"quantile",0.25,24237,"sari"
"DE","00+",2024-11-07,2024-11-03,0,"quantile",0.5,25100,"sari"
"DE","00+",2024-11-07,2024-11-03,0,"quantile",0.75,26071,"sari"
"DE","00+",2024-11-07,2024-11-03,0,"quantile",0.9,27040,"sari"
"DE","00+",2024-11-07,2024-11-03,0,"quantile",0.975,28235,"sari"
"DE","00+",2024-11-07,2024-10-27,-1,"mean",NA,25797,"sari"
"DE","00+",2024-11-07,2024-10-27,-1,"quantile",0.025,24727,"sari"
"DE","00+",2024-11-07,2024-10-27,-1,"quantile",0.1,24946,"sari"
"DE","00+",2024-11-07,2024-10-27,-1,"quantile",0.25,25228,"sari"
"DE","00+",2024-11-07,2024-10-27,-1,"quantile",0.5,25652,"sari"
"DE","00+",2024-11-07,2024-10-27,-1,"quantile",0.75,26210,"sari"
"DE","00+",2024-11-07,2024-10-27,-1,"quantile",0.9,26835,"sari"
"DE","00+",2024-11-07,2024-10-27,-1,"quantile",0.975,27682,"sari"
"DE","00+",2024-11-07,2024-10-20,-2,"mean",NA,24430,"sari"
"DE","00+",2024-11-07,2024-10-20,-2,"quantile",0.025,23899,"sari"
"DE","00+",2024-11-07,2024-10-20,-2,"quantile",0.1,23905,"sari"
"DE","00+",2024-11-07,2024-10-20,-2,"quantile",0.25,23945,"sari"
"DE","00+",2024-11-07,2024-10-20,-2,"quantile",0.5,24126,"sari"
"DE","00+",2024-11-07,2024-10-20,-2,"quantile",0.75,24593,"sari"
"DE","00+",2024-11-07,2024-10-20,-2,"quantile",0.9,25355,"sari"
"DE","00+",2024-11-07,2024-10-20,-2,"quantile",0.975,26650,"sari"
"DE","00+",2024-11-07,2024-10-13,-3,"mean",NA,24828,"sari"
"DE","00+",2024-11-07,2024-10-13,-3,"quantile",0.025,24672,"sari"
"DE","00+",2024-11-07,2024-10-13,-3,"quantile",0.1,24672,"sari"
"DE","00+",2024-11-07,2024-10-13,-3,"quantile",0.25,24673,"sari"
"DE","00+",2024-11-07,2024-10-13,-3,"quantile",0.5,24693,"sari"
"DE","00+",2024-11-07,2024-10-13,-3,"quantile",0.75,24823,"sari"
"DE","00+",2024-11-07,2024-10-13,-3,"quantile",0.9,25145,"sari"
"DE","00+",2024-11-07,2024-10-13,-3,"quantile",0.975,25808,"sari"
"DE","00+",2024-11-14,2024-11-10,0,"mean",NA,25918,"sari"
"DE","00+",2024-11-14,2024-11-10,0,"quantile",0.025,23584,"sari"
"DE","00+",2024-11-14,2024-11-10,0,"quantile",0.1,24266,"sari"
"DE","00+",2024-11-14,2024-11-10,0,"quantile",0.25,24954,"sari"
"DE","00+",2024-11-14,2024-11-10,0,"quantile",0.5,25809,"sari"
"DE","00+",2024-11-14,2024-11-10,0,"quantile",0.75,26763,"sari"
"DE","00+",2024-11-14,2024-11-10,0,"quantile",0.9,27710,"sari"
"DE","00+",2024-11-14,2024-11-10,0,"quantile",0.975,28870,"sari"
"DE","00+",2024-11-14,2024-11-03,-1,"mean",NA,25817,"sari"
"DE","00+",2024-11-14,2024-11-03,-1,"quantile",0.025,24667,"sari"
"DE","00+",2024-11-14,2024-11-03,-1,"quantile",0.1,24904,"sari"
"DE","00+",2024-11-14,2024-11-03,-1,"quantile",0.25,25207,"sari"
"DE","00+",2024-11-14,2024-11-03,-1,"quantile",0.5,25663,"sari"
"DE","00+",2024-11-14,2024-11-03,-1,"quantile",0.75,26260,"sari"
