"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value","disease"
"DE","00+",2024-10-10,2024-10-06,0,"mean",NA,11536,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.025,10559,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.1,10843,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.25,11131,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.5,11489,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.75,11890,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.9,12288,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.975,12776,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"mean",NA,12654,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.025,12097,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.1,12205,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.25,12350,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.5,12573,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.75,12871,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.9,13210,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.975,13673,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"mean",NA,11209,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.025,10974,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.1,10977,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.25,10994,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.5,11074,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.75,11281,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.9,11618,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.975,12189,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"mean",NA,8463,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.025,8396,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.1,8396,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.25,8396,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.5,8399,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.75,8442,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.9,8594,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.975,8957,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"mean",NA,12043,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.025,10986,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.1,11294,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.25,11605,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.5,11993,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.75,12426,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.9,12858,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.975,13388,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"mean",NA,11625,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.025,11096,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.1,11200,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.25,11337,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.5,11548,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.75,11829,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.9,12148,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.975,12583,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"mean",NA,12745,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.025,12470,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.1,12473,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.25,12492,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.5,12584,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.75,12828,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.9,13230,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.975,13917,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"mean",NA,11388,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.025,11306,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.1,11306,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.25,11306,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.5,11310,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.75,11363,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.9,11550,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.975,11996,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"mean",NA,11993,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.025,10685,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.1,11048,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.25,11427,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.5,11914,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.75,12473,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.9,13040,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.975,13750,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"mean",NA,13042,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.025,12437,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.1,12554,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.25,12711,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.5,12953,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.75,13277,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.9,13647,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.975,14152,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"mean",NA,11711,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.025,11473,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.1,11473,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.25,11480,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.5,11538,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.75,11753,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.9,12168,"sari"
