"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value","disease"
"DE","00+",2024-12-26,2024-12-22,0,"mean",NA,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.025,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.1,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.25,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.5,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.75,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.9,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.975,0,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"mean",NA,24336,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.025,23052,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.1,23127,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.25,23335,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.5,23861,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.75,24835,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.9,26179,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.975,28266,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"mean",NA,26913,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.025,26492,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.1,26519,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.25,26590,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.5,26763,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.75,27077,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.9,27506,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.975,28168,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"mean",NA,24894,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.025,24811,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.1,24811,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.25,24811,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.5,24819,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.75,24883,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.9,25062,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.975,25449,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"mean",NA,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.025,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.1,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.25,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.5,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.75,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.9,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.975,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"mean",NA,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.025,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.1,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.25,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.5,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.75,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.9,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.975,0,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"mean",NA,23316,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.025,23039,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.1,23056,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.25,23101,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.5,23215,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.75,23424,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.9,23712,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.975,24158,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"mean",NA,26540,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.025,26486,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.1,26486,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.25,26486,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.5,26489,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.75,26525,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.9,26649,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.975,26938,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"mean",NA,33054,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.025,31396,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.1,31925,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.25,32427,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.5,33016,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.75,33640,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.9,34231,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.975,34925,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"mean",NA,31898,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.025,30745,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.1,31081,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.25,31421,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.5,31843,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.75,32315,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.9,32785,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.975,33360,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"mean",NA,32593,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.025,30776,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.1,30858,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.25,31120,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.5,31850,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.75,33281,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.9,35318,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.975,38536,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"mean",NA,30313,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.025,29982,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.1,29982,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.25,29982,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.5,29989,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.75,30161,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.9,30934,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.975,32965,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"mean",NA,36722,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.025,33768,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.1,34655,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.25,35533,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.5,36606,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.75,37784,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.9,38937,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.975,40335,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"mean",NA,35567,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.025,34476,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.1,34803,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.25,35128,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.5,35524,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.75,35960,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.9,36386,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.975,36903,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"mean",NA,31845,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.025,30094,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.1,30158,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.25,30390,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.5,31082,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.75,32495,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.9,34548,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.975,37830,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"mean",NA,31585,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.025,31228,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.1,31228,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.25,31229,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.5,31270,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.75,31561,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.9,32308,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.975,33866,"sari"
"DE","00+",2025-01-23,2025-01-19,0,"mean",NA,38005,"sari"
"DE","00+",2025-01-23,2025-01-19,0,"quantile",0.025,34775,"sari"
"DE","00+",2025-01-23,2025-01-19,0,"quantile",0.1,35728,"sari"
"DE","00+",2025-01-23,2025-01-19,0,"quantile",0.25,36682,"sari"
"DE","00+",2025-01-23,2025-01-19,0,"quantile",0.5,37862,"sari"
