"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value","disease"
"DE","00+",2024-10-10,2024-10-06,0,"mean",NA,11536,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.025,10559,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.1,10843,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.25,11131,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.5,11489,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.75,11890,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.9,12288,"sari"
"DE","00+",2024-10-10,2024-10-06,0,"quantile",0.975,12776,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"mean",NA,0,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.025,0,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.1,0,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.25,0,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.5,0,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.75,0,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.9,0,"sari"
"DE","00+",2024-10-10,2024-09-29,-1,"quantile",0.975,0,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"mean",NA,0,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.025,0,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.1,0,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.25,0,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.5,0,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.75,0,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.9,0,"sari"
"DE","00+",2024-10-10,2024-09-22,-2,"quantile",0.975,0,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"mean",NA,0,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.025,0,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.1,0,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.25,0,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.5,0,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.75,0,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.9,0,"sari"
"DE","00+",2024-10-10,2024-09-15,-3,"quantile",0.975,0,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"mean",NA,12019,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.025,10984,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.1,11286,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.25,11591,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.5,11970,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.75,12394,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.9,12815,"sari"
"DE","00+",2024-10-17,2024-10-13,0,"quantile",0.975,13331,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"mean",NA,11625,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.025,11096,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.1,11200,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.25,11337,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.5,11548,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.75,11829,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.9,12148,"sari"
"DE","00+",2024-10-17,2024-10-06,-1,"quantile",0.975,12583,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"mean",NA,0,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.025,0,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.1,0,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.25,0,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.5,0,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.75,0,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.9,0,"sari"
"DE","00+",2024-10-17,2024-09-29,-2,"quantile",0.975,0,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"mean",NA,0,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.025,0,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.1,0,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.25,0,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.5,0,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.75,0,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.9,0,"sari"
"DE","00+",2024-10-17,2024-09-22,-3,"quantile",0.975,0,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"mean",NA,11869,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.025,10761,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.1,11080,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.25,11405,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.5,11813,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.75,12272,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.9,12732,"sari"
"DE","00+",2024-10-24,2024-10-20,0,"quantile",0.975,13299,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"mean",NA,13017,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.025,12441,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.1,12555,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.25,12705,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.5,12935,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.75,13240,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.9,13586,"sari"
"DE","00+",2024-10-24,2024-10-13,-1,"quantile",0.975,14058,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"mean",NA,11711,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.025,11473,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.1,11473,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.25,11480,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.5,11538,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.75,11753,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.9,12168,"sari"
"DE","00+",2024-10-24,2024-10-06,-2,"quantile",0.975,12929,"sari"
"DE","00+",2024-10-24,2024-09-29,-3,"mean",NA,0,"sari"
