"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value","disease"
"DE","00+",2023-12-07,2023-12-03,0,"mean",NA,16314,"sari"
"DE","00+",2023-12-07,2023-12-03,0,"quantile",0.025,15501,"sari"
"DE","00+",2023-12-07,2023-12-03,0,"quantile",0.1,15764,"sari"
"DE","00+",2023-12-07,2023-12-03,0,"quantile",0.25,16011,"sari"
"DE","00+",2023-12-07,2023-12-03,0,"quantile",0.5,16298,"sari"
"DE","00+",2023-12-07,2023-12-03,0,"quantile",0.75,16601,"sari"
"DE","00+",2023-12-07,2023-12-03,0,"quantile",0.9,16885,"sari"
"DE","00+",2023-12-07,2023-12-03,0,"quantile",0.975,17218,"sari"
"DE","00+",2023-12-07,2023-11-26,-1,"mean",NA,15175,"sari"
"DE","00+",2023-12-07,2023-11-26,-1,"quantile",0.025,14559,"sari"
"DE","00+",2023-12-07,2023-11-26,-1,"quantile",0.1,14724,"sari"
"DE","00+",2023-12-07,2023-11-26,-1,"quantile",0.25,14902,"sari"
"DE","00+",2023-12-07,2023-11-26,-1,"quantile",0.5,15133,"sari"
"DE","00+",2023-12-07,2023-11-26,-1,"quantile",0.75,15402,"sari"
"DE","00+",2023-12-07,2023-11-26,-1,"quantile",0.9,15679,"sari"
"DE","00+",2023-12-07,2023-11-26,-1,"quantile",0.975,16029,"sari"
"DE","00+",2023-12-07,2023-11-19,-2,"mean",NA,14630,"sari"
"DE","00+",2023-12-07,2023-11-19,-2,"quantile",0.025,14319,"sari"
"DE","00+",2023-12-07,2023-11-19,-2,"quantile",0.1,14398,"sari"
"DE","00+",2023-12-07,2023-11-19,-2,"quantile",0.25,14486,"sari"
"DE","00+",2023-12-07,2023-11-19,-2,"quantile",0.5,14604,"sari"
"DE","00+",2023-12-07,2023-11-19,-2,"quantile",0.75,14747,"sari"
"DE","00+",2023-12-07,2023-11-19,-2,"quantile",0.9,14897,"sari"
"DE","00+",2023-12-07,2023-11-19,-2,"quantile",0.975,15090,"sari"
"DE","00+",2023-12-07,2023-11-12,-3,"mean",NA,13052,"sari"
"DE","00+",2023-12-07,2023-11-12,-3,"quantile",0.025,13052,"sari"
"DE","00+",2023-12-07,2023-11-12,-3,"quantile",0.1,13052,"sari"
"DE","00+",2023-12-07,2023-11-12,-3,"quantile",0.25,13052,"sari"
"DE","00+",2023-12-07,2023-11-12,-3,"quantile",0.5,13052,"sari"
"DE","00+",2023-12-07,2023-11-12,-3,"quantile",0.75,13052,"sari"
"DE","00+",2023-12-07,2023-11-12,-3,"quantile",0.9,13052,"sari"
"DE","00+",2023-12-07,2023-11-12,-3,"quantile",0.975,13052,"sari"
"DE","00+",2023-12-14,2023-12-10,0,"mean",NA,18198,"sari"
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.025,17305,"sari"
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.1,17595,"sari"
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.25,17866,"sari"
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.5,18182,"sari"
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.75,18513,"sari"
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.9,18824,"sari"
"DE","00+",2023-12-14,2023-12-10,0,"quantile",0.975,19186,"sari"
"DE","00+",2023-12-14,2023-12-03,-1,"mean",NA,16641,"sari"
"DE","00+",2023-12-14,2023-12-03,-1,"quantile",0.025,16152,"sari"
"DE","00+",2023-12-14,2023-12-03,-1,"quantile",0.1,16299,"sari"
"DE","00+",2023-12-14,2023-12-03,-1,"quantile",0.25,16445,"sari"
"DE","00+",2023-12-14,2023-12-03,-1,"quantile",0.5,16622,"sari"
"DE","00+",2023-12-14,2023-12-03,-1,"quantile",0.75,16817,"sari"
"DE","00+",2023-12-14,2023-12-03,-1,"quantile",0.9,17007,"sari"
"DE","00+",2023-12-14,2023-12-03,-1,"quantile",0.975,17238,"sari"
"DE","00+",2023-12-14,2023-11-26,-2,"mean",NA,15542,"sari"
"DE","00+",2023-12-14,2023-11-26,-2,"quantile",0.025,14949,"sari"
"DE","00+",2023-12-14,2023-11-26,-2,"quantile",0.1,15040,"sari"
"DE","00+",2023-12-14,2023-11-26,-2,"quantile",0.25,15182,"sari"
"DE","00+",2023-12-14,2023-11-26,-2,"quantile",0.5,15425,"sari"
"DE","00+",2023-12-14,2023-11-26,-2,"quantile",0.75,15777,"sari"
"DE","00+",2023-12-14,2023-11-26,-2,"quantile",0.9,16197,"sari"
"DE","00+",2023-12-14,2023-11-26,-2,"quantile",0.975,16794,"sari"
"DE","00+",2023-12-14,2023-11-19,-3,"mean",NA,14657,"sari"
"DE","00+",2023-12-14,2023-11-19,-3,"quantile",0.025,14382,"sari"
"DE","00+",2023-12-14,2023-11-19,-3,"quantile",0.1,14382,"sari"
"DE","00+",2023-12-14,2023-11-19,-3,"quantile",0.25,14382,"sari"
"DE","00+",2023-12-14,2023-11-19,-3,"quantile",0.5,14384,"sari"
"DE","00+",2023-12-14,2023-11-19,-3,"quantile",0.75,14479,"sari"
"DE","00+",2023-12-14,2023-11-19,-3,"quantile",0.9,15116,"sari"
"DE","00+",2023-12-14,2023-11-19,-3,"quantile",0.975,17076,"sari"
"DE","00+",2023-12-21,2023-12-17,0,"mean",NA,20805,"sari"
"DE","00+",2023-12-21,2023-12-17,0,"quantile",0.025,19644,"sari"
"DE","00+",2023-12-21,2023-12-17,0,"quantile",0.1,20018,"sari"
"DE","00+",2023-12-21,2023-12-17,0,"quantile",0.25,20370,"sari"
"DE","00+",2023-12-21,2023-12-17,0,"quantile",0.5,20781,"sari"
"DE","00+",2023-12-21,2023-12-17,0,"quantile",0.75,21214,"sari"
"DE","00+",2023-12-21,2023-12-17,0,"quantile",0.9,21622,"sari"
"DE","00+",2023-12-21,2023-12-17,0,"quantile",0.975,22100,"sari"
"DE","00+",2023-12-21,2023-12-10,-1,"mean",NA,18413,"sari"
"DE","00+",2023-12-21,2023-12-10,-1,"quantile",0.025,17886,"sari"
"DE","00+",2023-12-21,2023-12-10,-1,"quantile",0.1,18046,"sari"
"DE","00+",2023-12-21,2023-12-10,-1,"quantile",0.25,18204,"sari"
"DE","00+",2023-12-21,2023-12-10,-1,"quantile",0.5,18394,"sari"
"DE","00+",2023-12-21,2023-12-10,-1,"quantile",0.75,18603,"sari"
"DE","00+",2023-12-21,2023-12-10,-1,"quantile",0.9,18805,"sari"
"DE","00+",2023-12-21,2023-12-10,-1,"quantile",0.975,19049,"sari"
"DE","00+",2023-12-21,2023-12-03,-2,"mean",NA,16689,"sari"
"DE","00+",2023-12-21,2023-12-03,-2,"quantile",0.025,16239,"sari"
"DE","00+",2023-12-21,2023-12-03,-2,"quantile",0.1,16329,"sari"
"DE","00+",2023-12-21,2023-12-03,-2,"quantile",0.25,16447,"sari"
"DE","00+",2023-12-21,2023-12-03,-2,"quantile",0.5,16626,"sari"
"DE","00+",2023-12-21,2023-12-03,-2,"quantile",0.75,16864,"sari"
"DE","00+",2023-12-21,2023-12-03,-2,"quantile",0.9,17131,"sari"
"DE","00+",2023-12-21,2023-12-03,-2,"quantile",0.975,17496,"sari"
"DE","00+",2023-12-21,2023-11-26,-3,"mean",NA,15475,"sari"
"DE","00+",2023-12-21,2023-11-26,-3,"quantile",0.025,15297,"sari"
"DE","00+",2023-12-21,2023-11-26,-3,"quantile",0.1,15297,"sari"
"DE","00+",2023-12-21,2023-11-26,-3,"quantile",0.25,15297,"sari"
"DE","00+",2023-12-21,2023-11-26,-3,"quantile",0.5,15298,"sari"
"DE","00+",2023-12-21,2023-11-26,-3,"quantile",0.75,15360,"sari"
"DE","00+",2023-12-21,2023-11-26,-3,"quantile",0.9,15770,"sari"
"DE","00+",2023-12-21,2023-11-26,-3,"quantile",0.975,17034,"sari"
"DE","00+",2023-12-28,2023-12-24,0,"mean",NA,0,"sari"
"DE","00+",2023-12-28,2023-12-24,0,"quantile",0.025,0,"sari"
"DE","00+",2023-12-28,2023-12-24,0,"quantile",0.1,0,"sari"
"DE","00+",2023-12-28,2023-12-24,0,"quantile",0.25,0,"sari"
"DE","00+",2023-12-28,2023-12-24,0,"quantile",0.5,0,"sari"
"DE","00+",2023-12-28,2023-12-24,0,"quantile",0.75,0,"sari"
"DE","00+",2023-12-28,2023-12-24,0,"quantile",0.9,0,"sari"
"DE","00+",2023-12-28,2023-12-24,0,"quantile",0.975,0,"sari"
"DE","00+",2023-12-28,2023-12-17,-1,"mean",NA,16060,"sari"
"DE","00+",2023-12-28,2023-12-17,-1,"quantile",0.025,15297,"sari"
"DE","00+",2023-12-28,2023-12-17,-1,"quantile",0.1,15301,"sari"
"DE","00+",2023-12-28,2023-12-17,-1,"quantile",0.25,15338,"sari"
"DE","00+",2023-12-28,2023-12-17,-1,"quantile",0.5,15563,"sari"
"DE","00+",2023-12-28,2023-12-17,-1,"quantile",0.75,16251,"sari"
"DE","00+",2023-12-28,2023-12-17,-1,"quantile",0.9,17464,"sari"
"DE","00+",2023-12-28,2023-12-17,-1,"quantile",0.975,19602,"sari"
"DE","00+",2023-12-28,2023-12-10,-2,"mean",NA,17103,"sari"
"DE","00+",2023-12-28,2023-12-10,-2,"quantile",0.025,16877,"sari"
"DE","00+",2023-12-28,2023-12-10,-2,"quantile",0.1,16878,"sari"
"DE","00+",2023-12-28,2023-12-10,-2,"quantile",0.25,16890,"sari"
"DE","00+",2023-12-28,2023-12-10,-2,"quantile",0.5,16958,"sari"
"DE","00+",2023-12-28,2023-12-10,-2,"quantile",0.75,17162,"sari"
"DE","00+",2023-12-28,2023-12-10,-2,"quantile",0.9,17518,"sari"
"DE","00+",2023-12-28,2023-12-10,-2,"quantile",0.975,18143,"sari"
"DE","00+",2023-12-28,2023-12-03,-3,"mean",NA,16128,"sari"
"DE","00+",2023-12-28,2023-12-03,-3,"quantile",0.025,16128,"sari"
"DE","00+",2023-12-28,2023-12-03,-3,"quantile",0.1,16128,"sari"
"DE","00+",2023-12-28,2023-12-03,-3,"quantile",0.25,16128,"sari"
"DE","00+",2023-12-28,2023-12-03,-3,"quantile",0.5,16128,"sari"
"DE","00+",2023-12-28,2023-12-03,-3,"quantile",0.75,16128,"sari"
"DE","00+",2023-12-28,2023-12-03,-3,"quantile",0.9,16128,"sari"
"DE","00+",2023-12-28,2023-12-03,-3,"quantile",0.975,16128,"sari"
"DE","00+",2024-01-04,2023-12-31,0,"mean",NA,20560,"sari"
"DE","00+",2024-01-04,2023-12-31,0,"quantile",0.025,19343,"sari"
"DE","00+",2024-01-04,2023-12-31,0,"quantile",0.1,19734,"sari"
"DE","00+",2024-01-04,2023-12-31,0,"quantile",0.25,20102,"sari"
"DE","00+",2024-01-04,2023-12-31,0,"quantile",0.5,20534,"sari"
"DE","00+",2024-01-04,2023-12-31,0,"quantile",0.75,20990,"sari"
"DE","00+",2024-01-04,2023-12-31,0,"quantile",0.9,21420,"sari"
"DE","00+",2024-01-04,2023-12-31,0,"quantile",0.975,21925,"sari"
"DE","00+",2024-01-04,2023-12-24,-1,"mean",NA,23681,"sari"
"DE","00+",2024-01-04,2023-12-24,-1,"quantile",0.025,21899,"sari"
"DE","00+",2024-01-04,2023-12-24,-1,"quantile",0.1,22401,"sari"
"DE","00+",2024-01-04,2023-12-24,-1,"quantile",0.25,22921,"sari"
"DE","00+",2024-01-04,2023-12-24,-1,"quantile",0.5,23581,"sari"
"DE","00+",2024-01-04,2023-12-24,-1,"quantile",0.75,24332,"sari"
"DE","00+",2024-01-04,2023-12-24,-1,"quantile",0.9,25089,"sari"
"DE","00+",2024-01-04,2023-12-24,-1,"quantile",0.975,26030,"sari"
"DE","00+",2024-01-04,2023-12-17,-2,"mean",NA,21716,"sari"
"DE","00+",2024-01-04,2023-12-17,-2,"quantile",0.025,20869,"sari"
"DE","00+",2024-01-04,2023-12-17,-2,"quantile",0.1,21028,"sari"
"DE","00+",2024-01-04,2023-12-17,-2,"quantile",0.25,21244,"sari"
"DE","00+",2024-01-04,2023-12-17,-2,"quantile",0.5,21585,"sari"
"DE","00+",2024-01-04,2023-12-17,-2,"quantile",0.75,22046,"sari"
"DE","00+",2024-01-04,2023-12-17,-2,"quantile",0.9,22576,"sari"
"DE","00+",2024-01-04,2023-12-17,-2,"quantile",0.975,23306,"sari"
"DE","00+",2024-01-04,2023-12-10,-3,"mean",NA,18080,"sari"
"DE","00+",2024-01-04,2023-12-10,-3,"quantile",0.025,17625,"sari"
"DE","00+",2024-01-04,2023-12-10,-3,"quantile",0.1,17625,"sari"
"DE","00+",2024-01-04,2023-12-10,-3,"quantile",0.25,17625,"sari"
"DE","00+",2024-01-04,2023-12-10,-3,"quantile",0.5,17628,"sari"
"DE","00+",2024-01-04,2023-12-10,-3,"quantile",0.75,17786,"sari"
"DE","00+",2024-01-04,2023-12-10,-3,"quantile",0.9,18835,"sari"
"DE","00+",2024-01-04,2023-12-10,-3,"quantile",0.975,22070,"sari"
"DE","00+",2024-01-11,2024-01-07,0,"mean",NA,18778,"sari"
"DE","00+",2024-01-11,2024-01-07,0,"quantile",0.025,15418,"sari"
"DE","00+",2024-01-11,2024-01-07,0,"quantile",0.1,16203,"sari"
"DE","00+",2024-01-11,2024-01-07,0,"quantile",0.25,17127,"sari"
"DE","00+",2024-01-11,2024-01-07,0,"quantile",0.5,18429,"sari"
"DE","00+",2024-01-11,2024-01-07,0,"quantile",0.75,20051,"sari"
"DE","00+",2024-01-11,2024-01-07,0,"quantile",0.9,21804,"sari"
"DE","00+",2024-01-11,2024-01-07,0,"quantile",0.975,24111,"sari"
"DE","00+",2024-01-11,2023-12-31,-1,"mean",NA,22806,"sari"
"DE","00+",2024-01-11,2023-12-31,-1,"quantile",0.025,20294,"sari"
"DE","00+",2024-01-11,2023-12-31,-1,"quantile",0.1,20536,"sari"
"DE","00+",2024-01-11,2023-12-31,-1,"quantile",0.25,21037,"sari"
"DE","00+",2024-01-11,2023-12-31,-1,"quantile",0.5,22084,"sari"
"DE","00+",2024-01-11,2023-12-31,-1,"quantile",0.75,23806,"sari"
"DE","00+",2024-01-11,2023-12-31,-1,"quantile",0.9,26033,"sari"
"DE","00+",2024-01-11,2023-12-31,-1,"quantile",0.975,29356,"sari"
"DE","00+",2024-01-11,2023-12-24,-2,"mean",NA,20519,"sari"
"DE","00+",2024-01-11,2023-12-24,-2,"quantile",0.025,20119,"sari"
"DE","00+",2024-01-11,2023-12-24,-2,"quantile",0.1,20119,"sari"
"DE","00+",2024-01-11,2023-12-24,-2,"quantile",0.25,20130,"sari"
"DE","00+",2024-01-11,2023-12-24,-2,"quantile",0.5,20226,"sari"
"DE","00+",2024-01-11,2023-12-24,-2,"quantile",0.75,20588,"sari"
