"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value","disease"
"DE","00+",2023-10-26,2023-10-22,0,"mean",NA,11767,"sari"
"DE","00+",2023-10-26,2023-10-22,0,"quantile",0.025,10386,"sari"
"DE","00+",2023-10-26,2023-10-22,0,"quantile",0.1,10763,"sari"
"DE","00+",2023-10-26,2023-10-22,0,"quantile",0.25,11162,"sari"
"DE","00+",2023-10-26,2023-10-22,0,"quantile",0.5,11677,"sari"
"DE","00+",2023-10-26,2023-10-22,0,"quantile",0.75,12275,"sari"
"DE","00+",2023-10-26,2023-10-22,0,"quantile",0.9,12885,"sari"
"DE","00+",2023-10-26,2023-10-22,0,"quantile",0.975,13653,"sari"
"DE","00+",2023-10-26,2023-10-15,-1,"mean",NA,10574,"sari"
"DE","00+",2023-10-26,2023-10-15,-1,"quantile",0.025,9994,"sari"
"DE","00+",2023-10-26,2023-10-15,-1,"quantile",0.1,10047,"sari"
"DE","00+",2023-10-26,2023-10-15,-1,"quantile",0.25,10160,"sari"
"DE","00+",2023-10-26,2023-10-15,-1,"quantile",0.5,10402,"sari"
"DE","00+",2023-10-26,2023-10-15,-1,"quantile",0.75,10804,"sari"
"DE","00+",2023-10-26,2023-10-15,-1,"quantile",0.9,11329,"sari"
"DE","00+",2023-10-26,2023-10-15,-1,"quantile",0.975,12116,"sari"
"DE","00+",2023-10-26,2023-10-08,-2,"mean",NA,9371,"sari"
"DE","00+",2023-10-26,2023-10-08,-2,"quantile",0.025,9145,"sari"
"DE","00+",2023-10-26,2023-10-08,-2,"quantile",0.1,9145,"sari"
"DE","00+",2023-10-26,2023-10-08,-2,"quantile",0.25,9152,"sari"
"DE","00+",2023-10-26,2023-10-08,-2,"quantile",0.5,9208,"sari"
"DE","00+",2023-10-26,2023-10-08,-2,"quantile",0.75,9413,"sari"
"DE","00+",2023-10-26,2023-10-08,-2,"quantile",0.9,9805,"sari"
"DE","00+",2023-10-26,2023-10-08,-2,"quantile",0.975,10523,"sari"
"DE","00+",2023-10-26,2023-10-01,-3,"mean",NA,9206,"sari"
"DE","00+",2023-10-26,2023-10-01,-3,"quantile",0.025,9145,"sari"
"DE","00+",2023-10-26,2023-10-01,-3,"quantile",0.1,9145,"sari"
"DE","00+",2023-10-26,2023-10-01,-3,"quantile",0.25,9145,"sari"
"DE","00+",2023-10-26,2023-10-01,-3,"quantile",0.5,9145,"sari"
"DE","00+",2023-10-26,2023-10-01,-3,"quantile",0.75,9167,"sari"
"DE","00+",2023-10-26,2023-10-01,-3,"quantile",0.9,9308,"sari"
"DE","00+",2023-10-26,2023-10-01,-3,"quantile",0.975,9745,"sari"
"DE","00+",2023-11-02,2023-10-29,0,"mean",NA,11892,"sari"
"DE","00+",2023-11-02,2023-10-29,0,"quantile",0.025,10451,"sari"
"DE","00+",2023-11-02,2023-10-29,0,"quantile",0.1,10845,"sari"
"DE","00+",2023-11-02,2023-10-29,0,"quantile",0.25,11262,"sari"
"DE","00+",2023-11-02,2023-10-29,0,"quantile",0.5,11800,"sari"
"DE","00+",2023-11-02,2023-10-29,0,"quantile",0.75,12422,"sari"
"DE","00+",2023-11-02,2023-10-29,0,"quantile",0.9,13059,"sari"
"DE","00+",2023-11-02,2023-10-29,0,"quantile",0.975,13858,"sari"
"DE","00+",2023-11-02,2023-10-22,-1,"mean",NA,12364,"sari"
"DE","00+",2023-11-02,2023-10-22,-1,"quantile",0.025,11663,"sari"
"DE","00+",2023-11-02,2023-10-22,-1,"quantile",0.1,11730,"sari"
"DE","00+",2023-11-02,2023-10-22,-1,"quantile",0.25,11868,"sari"
"DE","00+",2023-11-02,2023-10-22,-1,"quantile",0.5,12161,"sari"
"DE","00+",2023-11-02,2023-10-22,-1,"quantile",0.75,12644,"sari"
"DE","00+",2023-11-02,2023-10-22,-1,"quantile",0.9,13269,"sari"
"DE","00+",2023-11-02,2023-10-22,-1,"quantile",0.975,14205,"sari"
"DE","00+",2023-11-02,2023-10-15,-2,"mean",NA,11022,"sari"
"DE","00+",2023-11-02,2023-10-15,-2,"quantile",0.025,10807,"sari"
"DE","00+",2023-11-02,2023-10-15,-2,"quantile",0.1,10807,"sari"
"DE","00+",2023-11-02,2023-10-15,-2,"quantile",0.25,10814,"sari"
"DE","00+",2023-11-02,2023-10-15,-2,"quantile",0.5,10869,"sari"
"DE","00+",2023-11-02,2023-10-15,-2,"quantile",0.75,11064,"sari"
"DE","00+",2023-11-02,2023-10-15,-2,"quantile",0.9,11432,"sari"
"DE","00+",2023-11-02,2023-10-15,-2,"quantile",0.975,12104,"sari"
"DE","00+",2023-11-02,2023-10-08,-3,"mean",NA,9192,"sari"
"DE","00+",2023-11-02,2023-10-08,-3,"quantile",0.025,9145,"sari"
"DE","00+",2023-11-02,2023-10-08,-3,"quantile",0.1,9145,"sari"
"DE","00+",2023-11-02,2023-10-08,-3,"quantile",0.25,9145,"sari"
"DE","00+",2023-11-02,2023-10-08,-3,"quantile",0.5,9145,"sari"
"DE","00+",2023-11-02,2023-10-08,-3,"quantile",0.75,9162,"sari"
"DE","00+",2023-11-02,2023-10-08,-3,"quantile",0.9,9270,"sari"
"DE","00+",2023-11-02,2023-10-08,-3,"quantile",0.975,9603,"sari"
"DE","00+",2023-11-09,2023-11-05,0,"mean",NA,12989,"sari"
