"location","age_group","forecast_date","target_end_date","horizon","type","quantile","value","disease"
"DE","00+",2024-12-26,2024-12-22,0,"mean",NA,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.025,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.1,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.25,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.5,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.75,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.9,0,"sari"
"DE","00+",2024-12-26,2024-12-22,0,"quantile",0.975,0,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"mean",NA,12745,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.025,12055,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.1,12055,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.25,12055,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.5,12060,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.75,12323,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.9,13925,"sari"
"DE","00+",2024-12-26,2024-12-15,-1,"quantile",0.975,18698,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"mean",NA,14029,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.025,13800,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.1,13800,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.25,13800,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.5,13804,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.75,13913,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.9,14451,"sari"
"DE","00+",2024-12-26,2024-12-08,-2,"quantile",0.975,15911,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"mean",NA,13009,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.025,12969,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.1,12969,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.25,12969,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.5,12971,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.75,12996,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.9,13088,"sari"
"DE","00+",2024-12-26,2024-12-01,-3,"quantile",0.975,13311,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"mean",NA,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.025,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.1,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.25,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.5,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.75,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.9,0,"sari"
"DE","00+",2025-01-02,2024-12-29,0,"quantile",0.975,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"mean",NA,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.025,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.1,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.25,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.5,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.75,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.9,0,"sari"
"DE","00+",2025-01-02,2024-12-22,-1,"quantile",0.975,0,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"mean",NA,12208,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.025,12055,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.1,12055,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.25,12055,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.5,12057,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.75,12127,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.9,12485,"sari"
"DE","00+",2025-01-02,2024-12-15,-2,"quantile",0.975,13482,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"mean",NA,13828,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.025,13800,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.1,13800,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.25,13800,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.5,13801,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.75,13819,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.9,13884,"sari"
"DE","00+",2025-01-02,2024-12-08,-3,"quantile",0.975,14042,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"mean",NA,17316,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.025,17057,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.1,17145,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.25,17225,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.5,17314,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.75,17405,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.9,17488,"sari"
"DE","00+",2025-01-09,2025-01-05,0,"quantile",0.975,17582,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"mean",NA,16643,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.025,16083,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.1,16249,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.25,16415,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.5,16619,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.75,16844,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.9,17067,"sari"
"DE","00+",2025-01-09,2024-12-29,-1,"quantile",0.975,17337,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"mean",NA,16999,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.025,16045,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.1,16045,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.25,16045,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.5,16058,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.75,16491,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.9,18724,"sari"
"DE","00+",2025-01-09,2024-12-22,-2,"quantile",0.975,24927,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"mean",NA,15806,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.025,15630,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.1,15630,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.25,15630,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.5,15637,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.75,15747,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.9,16152,"sari"
"DE","00+",2025-01-09,2024-12-15,-3,"quantile",0.975,17130,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"mean",NA,19222,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.025,17309,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.1,17858,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.25,18419,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.5,19123,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.75,19918,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.9,20714,"sari"
"DE","00+",2025-01-16,2025-01-12,0,"quantile",0.975,21696,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"mean",NA,18615,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.025,18100,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.1,18258,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.25,18412,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.5,18598,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.75,18800,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.9,18995,"sari"
"DE","00+",2025-01-16,2025-01-05,-1,"quantile",0.975,19230,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"mean",NA,16637,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.025,15713,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.1,15713,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.25,15718,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.5,15832,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.75,16594,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.9,18504,"sari"
"DE","00+",2025-01-16,2024-12-29,-2,"quantile",0.975,22446,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"mean",NA,16490,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.025,16295,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.1,16295,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.25,16299,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.5,16340,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.75,16515,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.9,16872,"sari"
"DE","00+",2025-01-16,2024-12-22,-3,"quantile",0.975,17546,"sari"
"DE","00+",2025-01-23,2025-01-19,0,"mean",NA,19864,"sari"
"DE","00+",2025-01-23,2025-01-19,0,"quantile",0.025,17929,"sari"
"DE","00+",2025-01-23,2025-01-19,0,"quantile",0.1,18481,"sari"
"DE","00+",2025-01-23,2025-01-19,0,"quantile",0.25,19048,"sari"
"DE","00+",2025-01-23,2025-01-19,0,"quantile",0.5,19762,"sari"
