"location","year","week","date","value_0w","value_1w","value_2w","value_3w","value_4w"
"DE",2024,40,"2024-10-06",14792,2271,392,-45,-248
"DE",2024,41,"2024-10-13",15307,3185,202,-80,-36
"DE",2024,42,"2024-10-20",14572,3128,507,-28,198
"DE",2024,43,"2024-10-27",16555,2413,191,72,-74
"DE",2024,44,"2024-11-03",16287,3030,541,312,-308
"DE",2024,45,"2024-11-10",16787,2405,1009,464,-101
"DE",2024,46,"2024-11-17",18058,3330,669,36,267
"DE",2024,47,"2024-11-24",17029,3226,573,223,0
"DE",2024,48,"2024-12-01",17857,2040,602,0,0
"DE",2024,49,"2024-12-08",18881,2749,0,0,1119
"DE",2024,50,"2024-12-15",20302,0,0,4470,-22
"DE",2024,51,"2024-12-22",0,0,24851,281,178
"DE",2024,52,"2024-12-29",0,23510,476,-22,296
"DE",2025,1,"2025-01-05",21530,4997,702,-46,-449
"DE",2025,2,"2025-01-12",24272,2110,417,-178,-393
"DE",2025,3,"2025-01-19",23978,1994,1051,-235,-373
"DE",2025,4,"2025-01-26",28716,4995,790,-170,-179
"DE",2025,5,"2025-02-02",33686,3277,-80,-331,-77
"DE",2025,6,"2025-02-09",32556,1577,884,595,-187
"DE",2025,7,"2025-02-16",31593,6390,779,593,-361
"DE",2025,8,"2025-02-23",34115,5571,848,389,-323
"DE",2025,9,"2025-03-02",33977,3922,899,97,511
"DE",2025,10,"2025-03-09",29215,3726,168,626,-132
"DE",2025,11,"2025-03-16",25386,4011,522,122,0
"DE",2025,12,"2025-03-23",23249,3981,346,0,0
"DE",2025,13,"2025-03-30",21799,3526,0,0,0
"DE",2025,14,"2025-04-06",18214,0,0,0,0
