Saison	Kalenderwoche	Altersgruppe	SARI	Hospitalisierungsinzidenz
2024/25	2025-W14	0-4	Gesamt	42.7
2024/25	2025-W14	5-14	Gesamt	8.8
2024/25	2025-W14	15-34	Gesamt	1.9
2024/25	2025-W14	35-59	Gesamt	3.5
2024/25	2025-W14	60-79	Gesamt	14.3
2024/25	2025-W14	80+	Gesamt	56.4
2024/25	2025-W14	00+	Gesamt	13.0
2024/25	2025-W14	60-79	COVID-19	0.1
2024/25	2025-W14	80+	COVID-19	1.1
2024/25	2025-W14	00+	COVID-19	0.1
2024/25	2025-W14	00+	Influenza	1.6
2024/25	2025-W14	00+	RSV	0.9
2024/25	2025-W13	0-4	Gesamt	52.0
2024/25	2025-W13	5-14	Gesamt	9.9
2024/25	2025-W13	15-34	Gesamt	2.9
2024/25	2025-W13	35-59	Gesamt	5.6
2024/25	2025-W13	60-79	Gesamt	23.6
2024/25	2025-W13	80+	Gesamt	73.9
2024/25	2025-W13	00+	Gesamt	18.3
2024/25	2025-W13	60-79	COVID-19	0.3
2024/25	2025-W13	80+	COVID-19	0.8
2024/25	2025-W13	00+	COVID-19	0.2
2024/25	2025-W13	00+	Influenza	2.6
2024/25	2025-W13	00+	RSV	1.3
2024/25	2025-W12	0-4	Gesamt	53.4
2024/25	2025-W12	5-14	Gesamt	12.7
2024/25	2025-W12	15-34	Gesamt	3.5
2024/25	2025-W12	35-59	Gesamt	6.8
2024/25	2025-W12	60-79	Gesamt	26.2
2024/25	2025-W12	80+	Gesamt	84.7
2024/25	2025-W12	00+	Gesamt	20.7
2024/25	2025-W12	60-79	COVID-19	0.6
2024/25	2025-W12	80+	COVID-19	2.7
2024/25	2025-W12	00+	COVID-19	0.4
2024/25	2025-W12	00+	Influenza	3.9
2024/25	2025-W12	00+	RSV	1.5
2024/25	2025-W11	0-4	Gesamt	68.2
2024/25	2025-W11	5-14	Gesamt	14.1
2024/25	2025-W11	15-34	Gesamt	3.9
2024/25	2025-W11	35-59	Gesamt	7.4
2024/25	2025-W11	60-79	Gesamt	28.3
2024/25	2025-W11	80+	Gesamt	98.7
2024/25	2025-W11	00+	Gesamt	23.6
2024/25	2025-W11	60-79	COVID-19	0.4
2024/25	2025-W11	80+	COVID-19	0.8
2024/25	2025-W11	00+	COVID-19	0.2
2024/25	2025-W11	00+	Influenza	6.2
2024/25	2025-W11	00+	RSV	2.1
2024/25	2025-W10	0-4	Gesamt	87.7
2024/25	2025-W10	5-14	Gesamt	16.3
2024/25	2025-W10	15-34	Gesamt	5.8
2024/25	2025-W10	35-59	Gesamt	9.9
2024/25	2025-W10	60-79	Gesamt	30.2
2024/25	2025-W10	80+	Gesamt	106.4
2024/25	2025-W10	00+	Gesamt	27.1
2024/25	2025-W10	60-79	COVID-19	0.6
2024/25	2025-W10	80+	COVID-19	3.0
2024/25	2025-W10	00+	COVID-19	0.5
2024/25	2025-W10	00+	Influenza	8.1
2024/25	2025-W10	00+	RSV	2.3
2024/25	2025-W09	0-4	Gesamt	92.4
2024/25	2025-W09	5-14	Gesamt	22.9
2024/25	2025-W09	15-34	Gesamt	7.9
2024/25	2025-W09	35-59	Gesamt	13.2
2024/25	2025-W09	60-79	Gesamt	39.5
2024/25	2025-W09	80+	Gesamt	133.0
2024/25	2025-W09	00+	Gesamt	34.1
2024/25	2025-W09	60-79	COVID-19	1.1
2024/25	2025-W09	80+	COVID-19	3.3
2024/25	2025-W09	00+	COVID-19	0.6
2024/25	2025-W09	00+	Influenza	13.3
2024/25	2025-W09	00+	RSV	2.7
2024/25	2025-W08	0-4	Gesamt	92.4
2024/25	2025-W08	5-14	Gesamt	26.7
2024/25	2025-W08	15-34	Gesamt	8.5
2024/25	2025-W08	35-59	Gesamt	12.0
2024/25	2025-W08	60-79	Gesamt	41.9
2024/25	2025-W08	80+	Gesamt	133.3
