"location","year","week","date","value_0w","value_1w","value_2w","value_3w","value_4w"
"DE",2024,40,"2024-10-06",2927,1048,602,619,148
"DE",2024,41,"2024-10-13",2927,2138,421,572,149
"DE",2024,42,"2024-10-20",3488,1603,601,470,0
"DE",2024,43,"2024-10-27",3830,1645,945,195,251
"DE",2024,44,"2024-11-03",3607,1432,471,286,168
"DE",2024,45,"2024-11-10",3532,1233,285,249,0
"DE",2024,46,"2024-11-17",2995,1108,567,154,-125
"DE",2024,47,"2024-11-24",3533,901,370,65,0
"DE",2024,48,"2024-12-01",2589,1278,445,0,0
"DE",2024,49,"2024-12-08",2950,1906,0,0,459
"DE",2024,50,"2024-12-15",2734,0,0,2476,131
"DE",2024,51,"2024-12-22",0,0,5912,184,-30
"DE",2024,52,"2024-12-29",0,5658,441,333,36
"DE",2025,1,"2025-01-05",4360,1711,802,168,278
"DE",2025,2,"2025-01-12",4358,1534,232,120,-106
"DE",2025,3,"2025-01-19",5962,1535,820,-250,-101
"DE",2025,4,"2025-01-26",9144,3001,404,350,186
"DE",2025,5,"2025-02-02",11580,2604,879,628,296
"DE",2025,6,"2025-02-09",10998,1645,1063,619,-83
"DE",2025,7,"2025-02-16",9346,3568,1319,-36,47
"DE",2025,8,"2025-02-23",9992,3370,677,350,351
"DE",2025,9,"2025-03-02",10517,2429,813,167,285
"DE",2025,10,"2025-03-09",6769,1645,463,303,167
"DE",2025,11,"2025-03-16",5255,1317,594,18,0
"DE",2025,12,"2025-03-23",3407,1283,399,0,0
"DE",2025,13,"2025-03-30",2974,534,0,0,0
"DE",2025,14,"2025-04-06",2244,0,0,0,0
