"location","year","week","date","value_0w","value_1w","value_2w","value_3w","value_4w"
"DE",2022,52,"2023-01-01",21296,3148,800,252,248
"DE",2023,1,"2023-01-08",17263,3309,1044,310,45
"DE",2023,2,"2023-01-15",11007,2184,214,239,0
"DE",2023,3,"2023-01-22",8480,2103,174,166,222
"DE",2023,4,"2023-01-29",8923,1167,778,444,10
"DE",2023,5,"2023-02-05",8647,1665,667,120,268
"DE",2023,6,"2023-02-12",9868,1777,568,98,-13
"DE",2023,7,"2023-02-19",9757,1565,767,-68,-12
"DE",2023,8,"2023-02-26",9762,2272,817,319,69
"DE",2023,9,"2023-03-05",10090,2540,487,343,-150
"DE",2023,10,"2023-03-12",11191,2085,405,129,484
"DE",2023,11,"2023-03-19",10848,2501,683,681,53
"DE",2023,12,"2023-03-26",10859,2229,891,181,186
"DE",2023,13,"2023-04-02",10090,1371,217,360,273
"DE",2023,14,"2023-04-09",6635,4050,828,243,210
"DE",2023,15,"2023-04-16",8369,1361,694,-7,-4
"DE",2023,16,"2023-04-23",8156,1379,218,218,27
"DE",2023,17,"2023-04-30",5760,2775,552,69,155
"DE",2023,18,"2023-05-07",7650,1437,384,173,222
"DE",2023,19,"2023-05-14",7099,1425,566,221,51
"DE",2023,20,"2023-05-21",6420,1229,665,276,55
"DE",2023,21,"2023-05-28",5099,1885,723,165,111
"DE",2023,22,"2023-06-04",6540,1277,386,111,0
"DE",2023,23,"2023-06-11",5832,825,556,327,-2
"DE",2023,24,"2023-06-18",5552,1220,437,-115,9
"DE",2023,25,"2023-06-25",5231,1426,105,120,-120
"DE",2023,26,"2023-07-02",4557,875,349,205,-103
"DE",2023,27,"2023-07-09",5099,792,428,6,111
"DE",2023,28,"2023-07-16",5120,755,8,221,105
"DE",2023,29,"2023-07-23",4877,785,111,226,-124
"DE",2023,30,"2023-07-30",3342,1547,268,-58,101
"DE",2023,31,"2023-08-06",4115,936,48,-11,-39
"DE",2023,32,"2023-08-13",4736,1028,103,173,81
"DE",2023,33,"2023-08-20",6319,1105,265,214,-86
"DE",2023,34,"2023-08-27",5645,1059,312,-81,-67
"DE",2023,35,"2023-09-03",5500,1631,-86,268,0
"DE",2023,36,"2023-09-10",7245,1234,502,111,223
"DE",2023,37,"2023-09-17",6273,1707,334,222,0
"DE",2023,38,"2023-09-24",6646,1445,445,-111,-112
"DE",2023,39,"2023-10-01",7535,1001,333,276,0
"DE",2023,40,"2023-10-08",6646,1668,831,0,0
"DE",2023,41,"2023-10-15",8203,1773,831,0,0
"DE",2023,42,"2023-10-22",18252,4428,315,1238,178
"DE",2023,43,"2023-10-29",18336,4208,1625,36,-108
"DE",2023,44,"2023-11-05",19912,4408,1780,898,-4
"DE",2023,45,"2023-11-12",20940,3371,470,782,465
"DE",2023,46,"2023-11-19",21604,4770,1284,485,320
"DE",2023,47,"2023-11-26",21737,5753,1615,828,0
"DE",2023,48,"2023-12-03",24020,5859,1629,0,867
"DE",2023,49,"2023-12-10",26588,6409,0,2923,-2321
"DE",2023,50,"2023-12-17",29838,0,11293,-1677,137
"DE",2023,51,"2023-12-24",0,38868,-651,202,1057
"DE",2023,52,"2023-12-31",29402,9134,1722,1397,1250
"DE",2024,1,"2024-01-07",26685,6482,4154,1268,362
"DE",2024,2,"2024-01-14",20231,7896,1770,824,295
"DE",2024,3,"2024-01-21",29490,5779,1277,320,271
"DE",2024,4,"2024-01-28",39653,5257,1852,1125,657
"DE",2024,5,"2024-02-04",39634,6727,1828,684,425
"DE",2024,6,"2024-02-11",41129,6639,1120,514,430
"DE",2024,7,"2024-02-18",33609,6478,1035,388,-50
"DE",2024,8,"2024-02-25",30230,3726,134,793,461
"DE",2024,9,"2024-03-03",24484,2896,1071,54,-42
"DE",2024,10,"2024-03-10",22605,4360,503,33,121
"DE",2024,11,"2024-03-17",20242,4182,929,378,468
"DE",2024,12,"2024-03-24",20613,3089,1087,6,154
"DE",2024,13,"2024-03-31",18985,2850,1104,256,71
"DE",2024,14,"2024-04-07",18556,3528,808,481,306
"DE",2024,15,"2024-04-14",17937,2862,1576,323,-10
"DE",2024,16,"2024-04-21",18094,2202,761,88,428
"DE",2024,17,"2024-04-28",16472,2702,1114,473,285
"DE",2024,18,"2024-05-05",19868,2993,1476,675,-51
"DE",2024,19,"2024-05-12",15861,3218,433,656,222
"DE",2024,20,"2024-05-19",16296,2996,1468,-86,92
"DE",2024,21,"2024-05-26",15798,1758,1164,461,277
"DE",2024,22,"2024-06-02",15609,2425,329,17,-30
"DE",2024,23,"2024-06-09",14629,1987,1381,75,126
"DE",2024,24,"2024-06-16",14192,2771,1428,139,304
"DE",2024,25,"2024-06-23",14669,3849,632,337,1
"DE",2024,26,"2024-06-30",16652,2218,459,312,187
"DE",2024,27,"2024-07-07",14268,2816,791,65,331
"DE",2024,28,"2024-07-14",14332,2421,780,140,-138
"DE",2024,29,"2024-07-21",14549,3076,1656,290,156
"DE",2024,30,"2024-07-28",13944,2737,170,174,-176
"DE",2024,31,"2024-08-04",14407,1443,521,504,-145
"DE",2024,32,"2024-08-11",14109,3032,1123,109,167
"DE",2024,33,"2024-08-18",13976,2766,769,277,164
"DE",2024,34,"2024-08-25",14735,2983,379,262,10
"DE",2024,35,"2024-09-01",15854,1716,447,357,660
"DE",2024,36,"2024-09-08",17755,2437,325,753,47
"DE",2024,37,"2024-09-15",13284,2772,290,-84,-18
"DE",2024,38,"2024-09-22",15738,4825,476,579,163
"DE",2024,39,"2024-09-29",19344,3622,954,12,134
"DE",2024,40,"2024-10-06",17719,3319,994,574,-100
"DE",2024,41,"2024-10-13",18234,5323,623,492,113
"DE",2024,42,"2024-10-20",18060,4731,1108,442,198
"DE",2024,43,"2024-10-27",20385,4058,1136,267,177
"DE",2024,44,"2024-11-03",19894,4462,1012,598,-140
"DE",2024,45,"2024-11-10",20319,3638,1294,713,-101
"DE",2024,46,"2024-11-17",21053,4438,1236,190,142
"DE",2024,47,"2024-11-24",20562,4127,943,288,0
"DE",2024,48,"2024-12-01",20446,3318,1047,0,0
"DE",2024,49,"2024-12-08",21831,4655,0,0,1578
"DE",2024,50,"2024-12-15",23036,0,0,6946,109
"DE",2024,51,"2024-12-22",0,0,30763,465,148
"DE",2024,52,"2024-12-29",0,29168,917,311,332
"DE",2025,1,"2025-01-05",25890,6708,1504,122,-171
"DE",2025,2,"2025-01-12",28630,3644,649,-58,-499
"DE",2025,3,"2025-01-19",29940,3529,1871,-485,-474
"DE",2025,4,"2025-01-26",37860,7996,1194,180,7
"DE",2025,5,"2025-02-02",45266,5881,799,297,219
"DE",2025,6,"2025-02-09",43554,3222,1947,1214,-270
"DE",2025,7,"2025-02-16",40939,9958,2098,557,-314
"DE",2025,8,"2025-02-23",44107,8941,1525,739,28
"DE",2025,9,"2025-03-02",44494,6351,1712,264,796
"DE",2025,10,"2025-03-09",35984,5371,631,929,35
"DE",2025,11,"2025-03-16",30641,5328,1116,140,0
"DE",2025,12,"2025-03-23",26656,5264,745,0,0
"DE",2025,13,"2025-03-30",24773,4060,0,0,0
"DE",2025,14,"2025-04-06",20458,0,0,0,0
