"location","age_group","year","week","date","value"
"DE","00+",2024,40,"2024-10-06",11722
"DE","00+",2024,41,"2024-10-13",12969
"DE","00+",2024,42,"2024-10-20",12803
"DE","00+",2024,43,"2024-10-27",13551
"DE","00+",2024,44,"2024-11-03",13468
"DE","00+",2024,45,"2024-11-10",13468
"DE","00+",2024,46,"2024-11-17",14050
"DE","00+",2024,47,"2024-11-24",13551
"DE","00+",2024,48,"2024-12-01",12969
"DE","00+",2024,49,"2024-12-08",14632
"DE","00+",2024,50,"2024-12-15",15713
"DE","00+",2024,51,"2024-12-22",16378
"DE","00+",2024,52,"2024-12-29",16045
"DE","00+",2025,1,"2025-01-05",17791
"DE","00+",2025,2,"2025-01-12",16960
"DE","00+",2025,3,"2025-01-19",17957
"DE","00+",2025,4,"2025-01-26",24692
"DE","00+",2025,5,"2025-02-02",27435
"DE","00+",2025,6,"2025-02-09",25939
"DE","00+",2025,7,"2025-02-16",27934
"DE","00+",2025,8,"2025-02-23",29015
"DE","00+",2025,9,"2025-03-02",28100
"DE","00+",2025,10,"2025-03-09",22530
"DE","00+",2025,11,"2025-03-16",19620
"DE","00+",2025,12,"2025-03-23",17209
"DE","00+",2025,13,"2025-03-30",15214
"DE","00+",2025,14,"2025-04-06",10807
"DE","00-04",2024,40,"2024-10-06",1087
"DE","00-04",2024,41,"2024-10-13",1071
"DE","00-04",2024,42,"2024-10-20",873
"DE","00-04",2024,43,"2024-10-27",790
"DE","00-04",2024,44,"2024-11-03",1269
"DE","00-04",2024,45,"2024-11-10",1249
"DE","00-04",2024,46,"2024-11-17",1217
"DE","00-04",2024,47,"2024-11-24",1055
"DE","00-04",2024,48,"2024-12-01",1348
"DE","00-04",2024,49,"2024-12-08",1190
"DE","00-04",2024,50,"2024-12-15",1771
"DE","00-04",2024,51,"2024-12-22",1917
"DE","00-04",2024,52,"2024-12-29",1787
"DE","00-04",2025,1,"2025-01-05",2151
"DE","00-04",2025,2,"2025-01-12",1542
"DE","00-04",2025,3,"2025-01-19",2404
"DE","00-04",2025,4,"2025-01-26",3487
"DE","00-04",2025,5,"2025-02-02",3432
"DE","00-04",2025,6,"2025-02-09",3835
"DE","00-04",2025,7,"2025-02-16",3562
"DE","00-04",2025,8,"2025-02-23",3653
"DE","00-04",2025,9,"2025-03-02",3653
"DE","00-04",2025,10,"2025-03-09",3468
"DE","00-04",2025,11,"2025-03-16",2696
"DE","00-04",2025,12,"2025-03-23",2111
"DE","00-04",2025,13,"2025-03-30",2056
"DE","00-04",2025,14,"2025-04-06",1688
"DE","05-14",2024,40,"2024-10-06",908
"DE","05-14",2024,41,"2024-10-13",592
"DE","05-14",2024,42,"2024-10-20",592
"DE","05-14",2024,43,"2024-10-27",810
"DE","05-14",2024,44,"2024-11-03",855
"DE","05-14",2024,45,"2024-11-10",877
"DE","05-14",2024,46,"2024-11-17",810
"DE","05-14",2024,47,"2024-11-24",990
"DE","05-14",2024,48,"2024-12-01",975
"DE","05-14",2024,49,"2024-12-08",1028
"DE","05-14",2024,50,"2024-12-15",930
"DE","05-14",2024,51,"2024-12-22",832
"DE","05-14",2024,52,"2024-12-29",562
"DE","05-14",2025,1,"2025-01-05",660
"DE","05-14",2025,2,"2025-01-12",667
"DE","05-14",2025,3,"2025-01-19",1485
"DE","05-14",2025,4,"2025-01-26",2086
"DE","05-14",2025,5,"2025-02-02",2731
"DE","05-14",2025,6,"2025-02-09",2356
"DE","05-14",2025,7,"2025-02-16",2071
"DE","05-14",2025,8,"2025-02-23",1988
"DE","05-14",2025,9,"2025-03-02",1718
"DE","05-14",2025,10,"2025-03-09",1223
"DE","05-14",2025,11,"2025-03-16",1058
"DE","05-14",2025,12,"2025-03-23",953
"DE","05-14",2025,13,"2025-03-30",742
"DE","05-14",2025,14,"2025-04-06",660
"DE","15-34",2024,40,"2024-10-06",983
"DE","15-34",2024,41,"2024-10-13",775
"DE","15-34",2024,42,"2024-10-20",870
"DE","15-34",2024,43,"2024-10-27",870
"DE","15-34",2024,44,"2024-11-03",1078
"DE","15-34",2024,45,"2024-11-10",870
"DE","15-34",2024,46,"2024-11-17",1229
"DE","15-34",2024,47,"2024-11-24",1040
"DE","15-34",2024,48,"2024-12-01",794
"DE","15-34",2024,49,"2024-12-08",1059
"DE","15-34",2024,50,"2024-12-15",1153
"DE","15-34",2024,51,"2024-12-22",870
"DE","15-34",2024,52,"2024-12-29",756
"DE","15-34",2025,1,"2025-01-05",1078
"DE","15-34",2025,2,"2025-01-12",794
"DE","15-34",2025,3,"2025-01-19",1021
"DE","15-34",2025,4,"2025-01-26",907
"DE","15-34",2025,5,"2025-02-02",1418
"DE","15-34",2025,6,"2025-02-09",1437
"DE","15-34",2025,7,"2025-02-16",1021
"DE","15-34",2025,8,"2025-02-23",1607
"DE","15-34",2025,9,"2025-03-02",1456
"DE","15-34",2025,10,"2025-03-09",1097
"DE","15-34",2025,11,"2025-03-16",737
"DE","15-34",2025,12,"2025-03-23",662
"DE","15-34",2025,13,"2025-03-30",548
"DE","15-34",2025,14,"2025-04-06",359
"DE","35-59",2024,40,"2024-10-06",1548
"DE","35-59",2024,41,"2024-10-13",1720
"DE","35-59",2024,42,"2024-10-20",1491
"DE","35-59",2024,43,"2024-10-27",2036
"DE","35-59",2024,44,"2024-11-03",1634
"DE","35-59",2024,45,"2024-11-10",1921
"DE","35-59",2024,46,"2024-11-17",2093
"DE","35-59",2024,47,"2024-11-24",1548
"DE","35-59",2024,48,"2024-12-01",1777
"DE","35-59",2024,49,"2024-12-08",1892
"DE","35-59",2024,50,"2024-12-15",2007
"DE","35-59",2024,51,"2024-12-22",2380
"DE","35-59",2024,52,"2024-12-29",2408
"DE","35-59",2025,1,"2025-01-05",2466
"DE","35-59",2025,2,"2025-01-12",2208
"DE","35-59",2025,3,"2025-01-19",2466
"DE","35-59",2025,4,"2025-01-26",3813
"DE","35-59",2025,5,"2025-02-02",3154
"DE","35-59",2025,6,"2025-02-09",3068
"DE","35-59",2025,7,"2025-02-16",3756
"DE","35-59",2025,8,"2025-02-23",3498
"DE","35-59",2025,9,"2025-03-02",3756
"DE","35-59",2025,10,"2025-03-09",2838
"DE","35-59",2025,11,"2025-03-16",2122
"DE","35-59",2025,12,"2025-03-23",1949
"DE","35-59",2025,13,"2025-03-30",1605
"DE","35-59",2025,14,"2025-04-06",1003
"DE","60-79",2024,40,"2024-10-06",2686
"DE","60-79",2024,41,"2024-10-13",3267
"DE","60-79",2024,42,"2024-10-20",3757
"DE","60-79",2024,43,"2024-10-27",3575
"DE","60-79",2024,44,"2024-11-03",3357
"DE","60-79",2024,45,"2024-11-10",3503
"DE","60-79",2024,46,"2024-11-17",3720
"DE","60-79",2024,47,"2024-11-24",3666
"DE","60-79",2024,48,"2024-12-01",3085
"DE","60-79",2024,49,"2024-12-08",3884
"DE","60-79",2024,50,"2024-12-15",4120
"DE","60-79",2024,51,"2024-12-22",4573
"DE","60-79",2024,52,"2024-12-29",4192
"DE","60-79",2025,1,"2025-01-05",4573
"DE","60-79",2025,2,"2025-01-12",4991
"DE","60-79",2025,3,"2025-01-19",4319
"DE","60-79",2025,4,"2025-01-26",6152
"DE","60-79",2025,5,"2025-02-02",6661
