"location","age_group","year","week","date","value_0w","value_1w","value_2w","value_3w","value_4w","value_5w","value_6w","value_7w","value_8w","value_9w","value_10w","value_.10w"
"DE","00+",2024,40,"2024-10-06",9228,1746,499,332,-83,83,-83,83,-83,0,0,-249
"DE","00+",2024,41,"2024-10-13",9560,2744,333,249,83,83,0,0,0,0,0,-166
"DE","00+",2024,42,"2024-10-20",9394,2494,582,250,83,83,0,0,-83,0,0,83
"DE","00+",2024,43,"2024-10-27",10641,2079,582,166,83,83,0,83,0,0,167,-84
"DE","00+",2024,44,"2024-11-03",10392,2328,499,332,-83,83,-83,0,0,166,0,-499
"DE","00+",2024,45,"2024-11-10",10558,1912,665,416,-83,-83,0,0,249,0,0,-166
"DE","00+",2024,46,"2024-11-17",10891,2328,665,83,83,0,0,166,0,0,0,-665
"DE","00+",2024,47,"2024-11-24",10724,2162,499,166,0,0,333,-84,0,84,0,-499
"DE","00+",2024,48,"2024-12-01",10641,1746,582,0,0,499,0,0,83,0,-166,-333
"DE","00+",2024,49,"2024-12-08",11389,2411,0,0,832,83,0,0,0,-166,-333,0
"DE","00+",2024,50,"2024-12-15",12055,0,0,3575,83,0,0,0,-250,-332,0,83
"DE","00+",2024,51,"2024-12-22",0,0,16045,250,83,-83,-84,-166,-499,0,84,0
"DE","00+",2024,52,"2024-12-29",0,15214,499,166,166,0,-415,-416,0,0,0,0
"DE","00+",2025,1,"2025-01-05",13551,3492,748,83,-83,0,83,0,-83,0,0,0
"DE","00+",2025,2,"2025-01-12",14964,1913,332,0,-249,-83,83,0,0,0,0,0
"DE","00+",2025,3,"2025-01-19",15630,1829,997,-249,-250,0,-83,0,0,0,0,0
"DE","00+",2025,4,"2025-01-26",19786,4157,665,84,0,83,-83,0,83,-83,0,0
"DE","00+",2025,5,"2025-02-02",23694,3159,333,166,83,83,0,-83,-83,0,NA,NA
"DE","00+",2025,6,"2025-02-09",22779,1663,998,665,-166,83,-83,-83,83,NA,NA,NA
"DE","00+",2025,7,"2025-02-16",21449,5238,1081,332,-166,0,0,83,NA,NA,NA,NA
"DE","00+",2025,8,"2025-02-23",23029,4739,831,416,0,0,-83,NA,NA,NA,NA,NA
"DE","00+",2025,9,"2025-03-02",23278,3326,914,167,415,250,NA,NA,NA,NA,NA,NA
"DE","00+",2025,10,"2025-03-09",18872,2827,332,499,0,NA,NA,NA,NA,NA,NA,NA
"DE","00+",2025,11,"2025-03-16",16128,2827,582,83,NA,NA,NA,NA,NA,NA,NA,NA
"DE","00+",2025,12,"2025-03-23",14050,2743,416,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE","00+",2025,13,"2025-03-30",13052,2162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE","00+",2025,14,"2025-04-06",10807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE","00-04",2024,40,"2024-10-06",1004,67,16,0,0,16,-16,0,0,0,0,-4
"DE","00-04",2024,41,"2024-10-13",937,99,51,-16,0,0,0,0,0,0,0,-63
"DE","00-04",2024,42,"2024-10-20",707,151,0,0,15,0,0,0,0,0,0,24
"DE","00-04",2024,43,"2024-10-27",759,63,-32,0,0,0,0,0,0,0,4,12
"DE","00-04",2024,44,"2024-11-03",1103,99,47,20,0,16,0,0,0,4,0,15
"DE","00-04",2024,45,"2024-11-10",1119,98,52,-20,0,-16,0,0,8,0,0,8
"DE","00-04",2024,46,"2024-11-17",1071,162,-16,0,0,0,0,8,0,0,0,24
"DE","00-04",2024,47,"2024-11-24",988,67,16,-16,0,0,4,0,0,0,0,4
"DE","00-04",2024,48,"2024-12-01",1170,115,63,0,0,-8,0,0,0,0,-99,24
"DE","00-04",2024,49,"2024-12-08",1071,115,0,0,4,0,0,0,0,-87,51,0
"DE","00-04",2024,50,"2024-12-15",1482,0,0,289,0,0,0,0,-55,83,0,0
"DE","00-04",2024,51,"2024-12-22",0,0,1917,0,0,0,0,8,56,0,0,0
"DE","00-04",2024,52,"2024-12-29",0,1771,0,16,0,0,-229,55,0,0,0,0
"DE","00-04",2025,1,"2025-01-05",1834,281,52,0,-16,-32,83,0,0,0,0,0
